CIDADE,expectativa_total,total_liderancas,peso_medio_liderancas,forca_media_local,score_medio,score_maximo,score_municipal_v6,cidade_norm,prefeito_apoia,sentimento_local_txt,distancia_tuntum_km,bonus_prefeito,score_proximidade,score_sentimento_local,fator_ancora_v7,score_municipal_v7,prioridade_v7,base_eleitoral_v8,peso_eleitoral,score_municipal_v8,prioridade_v8,cenario_conservador_v8,cenario_realista_v8,cenario_forte_v8,eficiencia_eleitoral,cluster_v9,acao_recomendada,municipio,prioridade_agenda,agenda_score,indice_consolidado,cd_mun,mapa_ok,cidade_norm_join,qtd_mencoes,sentimento_medio,engajamento_medio,alcance_medio,rejeicao_media,isd_v11,classificacao_isd,fontes,temas,indice_master_v12
Paulo Ramos,800.0,1,70.0,35.0,51.75,51.75,52.2,paulo ramos,0,medio,250.0,0,55,60,50,45.91,D,4000.0,40,42.2275,D,720.0,800.0,920.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Paulo Ramos,Sem classificação,42.2275,38.893375,2108108,True,paulo ramos,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.2253625
Buritirana,250.0,1,70.0,35.0,51.75,51.75,52.2,buritirana,0,medio,250.0,0,55,60,50,45.91,D,1250.0,40,42.2275,D,225.0,250.0,287.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Buritirana,Sem classificação,42.2275,38.893375,2102358,True,buritirana,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.2253625
Governador Luiz Rocha,200.0,1,70.0,35.0,51.75,51.75,52.2,governador luiz rocha,0,medio,250.0,0,55,60,50,45.91,D,1000.0,40,42.2275,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Governador Luiz Rocha,Sem classificação,42.2275,38.893375,2104628,True,governador luiz rocha,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.2253625
Boa Vista do Gurupi,100.0,1,70.0,35.0,51.75,51.75,52.2,boa vista do gurupi,0,medio,250.0,0,55,60,50,45.91,D,500.0,40,42.2275,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Boa Vista do Gurupi,Sem classificação,42.2275,38.893375,2101970,True,boa vista do gurupi,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.2253625
Fortuna,100.0,1,70.0,35.0,51.75,51.75,52.2,fortuna,0,medio,250.0,0,55,60,50,45.91,D,500.0,40,42.2275,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Fortuna,Sem classificação,42.2275,38.893375,2104206,True,fortuna,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.2253625
Bom Jardim,1000.0,1,70.0,35.0,51.75,51.75,52.2,bom jardim,0,medio,250.0,0,55,60,50,45.91,D,5000.0,40,42.2275,D,900.0,1000.0,1150.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Bom Jardim,Sem classificação,42.2275,38.893375,2102002,True,bom jardim,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.2253625
Luís Domingues,100.0,1,70.0,35.0,51.75,51.75,52.2,luis domingues,0,medio,250.0,0,55,60,50,45.91,D,500.0,40,42.2275,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Luís Domingues,Sem classificação,42.2275,38.893375,2106201,True,luis domingues,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.2253625
Palmeirândia,100.0,1,65.0,35.0,50.0,50.0,50.0,palmeirandia,0,medio,250.0,0,55,60,50,45.25,D,500.0,40,42.0625,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Palmeirândia,Sem classificação,42.0625,38.753125000000004,2107605,True,palmeirandia,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.1271875
Arame,1000.0,1,65.0,35.0,50.0,50.0,50.0,arame,0,medio,250.0,0,55,60,50,45.25,D,5000.0,40,42.0625,D,900.0,1000.0,1150.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Arame,Sem classificação,42.0625,38.753125000000004,2100956,True,arame,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.1271875
São Vicente Ferrer,600.0,1,35.0,35.0,39.5,39.5,36.8,sao vicente ferrer,0,medio,250.0,0,55,60,50,41.29,D,3000.0,40,41.0725,D,540.0,600.0,690.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,São Vicente Ferrer,Sem classificação,41.0725,37.911625,2111706,True,sao vicente ferrer,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Chapadinha,500.0,1,35.0,35.0,39.5,39.5,36.8,chapadinha,0,medio,250.0,0,55,60,50,41.29,D,2500.0,40,41.0725,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Chapadinha,Sem classificação,41.0725,37.911625,2103208,True,chapadinha,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Bom Jesus das Selvas,600.0,1,35.0,35.0,39.5,39.5,36.8,bom jesus das selvas,0,medio,250.0,0,55,60,50,41.29,D,3000.0,40,41.0725,D,540.0,600.0,690.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Bom Jesus das Selvas,Sem classificação,41.0725,37.911625,2102036,True,bom jesus das selvas,2.0,81.0,58.5,74.0,12.5,57.13,Neutro/instável,Maramais; Neto Cruz,Bom Jesus das Selvas; Região Tocantina; base política; humanização; interior; lideranças; proximidade,43.6771375
Lago Verde,600.0,1,35.0,35.0,39.5,39.5,36.8,lago verde,0,medio,250.0,0,55,60,50,41.29,D,3000.0,40,41.0725,D,540.0,600.0,690.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Lago Verde,Sem classificação,41.0725,37.911625,2105906,True,lago verde,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
São João Batista,200.0,1,35.0,35.0,39.5,39.5,36.8,sao joao batista,0,medio,250.0,0,55,60,50,41.29,D,1000.0,40,41.0725,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,São João Batista,Sem classificação,41.0725,37.911625,2111003,True,sao joao batista,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Açailândia,500.0,1,35.0,35.0,39.5,39.5,36.8,acailandia,0,medio,250.0,0,55,60,50,41.29,D,2500.0,40,41.0725,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Açailândia,Sem classificação,41.0725,37.911625,2100055,True,acailandia,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
São Bernardo,100.0,1,35.0,35.0,39.5,39.5,36.8,sao bernardo,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,São Bernardo,Sem classificação,41.0725,37.911625,2110609,True,sao bernardo,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Anapurus,400.0,1,35.0,35.0,39.5,39.5,36.8,anapurus,0,medio,250.0,0,55,60,50,41.29,D,2000.0,40,41.0725,D,360.0,400.0,460.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Anapurus,Sem classificação,41.0725,37.911625,2100808,True,anapurus,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Senador La Rocque,500.0,1,35.0,35.0,39.5,39.5,36.8,senador la rocque,0,medio,250.0,0,55,60,50,41.29,D,2500.0,40,41.0725,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Senador La Rocque,Sem classificação,41.0725,37.911625,2111763,True,senador la rocque,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
S. Raimundo das Mangabeiras,1250.0,1,35.0,35.0,39.5,39.5,36.8,sao raimundo das mangabeiras,0,medio,250.0,0,55,60,50,41.29,D,6250.0,40,41.0725,D,1125.0,1250.0,1437.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,S. Raimundo das Mangabeiras,Sem classificação,41.0725,37.911625,2111607,True,s raimundo das mangabeiras,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Santo Antônio dos Lopes,250.0,1,35.0,35.0,39.5,39.5,36.8,santo antonio dos lopes,0,medio,250.0,0,55,60,50,41.29,D,1250.0,40,41.0725,D,225.0,250.0,287.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Santo Antônio dos Lopes,Sem classificação,41.0725,37.911625,2110302,True,santo antonio dos lopes,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Milagres do Maranhão,700.0,1,35.0,35.0,39.5,39.5,36.8,milagres do maranhao,0,medio,250.0,0,55,60,50,41.29,D,3500.0,40,41.0725,D,630.0,700.0,804.9999999999999,20.0,Custo alto,Entrar com cautela e baixo custo político.,Milagres do Maranhão,Sem classificação,41.0725,37.911625,2106672,True,milagres do maranhao,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Gov. Nunes Freire,100.0,1,35.0,35.0,39.5,39.5,36.8,governador nunes freire,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Gov. Nunes Freire,Sem classificação,41.0725,37.911625,2104677,True,gov nunes freire,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
São Benedito,100.0,1,35.0,35.0,39.5,39.5,36.8,sao benedito do rio preto,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,São Benedito,Sem classificação,41.0725,37.911625,2110401,True,sao benedito,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Montes Altos,100.0,1,35.0,35.0,39.5,39.5,36.8,montes altos,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Montes Altos,Sem classificação,41.0725,37.911625,2107001,True,montes altos,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Miranda do Norte,150.0,1,35.0,35.0,39.5,39.5,36.8,miranda do norte,0,medio,250.0,0,55,60,50,41.29,D,750.0,40,41.0725,D,135.0,150.0,172.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Miranda do Norte,Sem classificação,41.0725,37.911625,2106755,True,miranda do norte,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Santa Inês,200.0,1,35.0,35.0,39.5,39.5,36.8,santa ines,0,medio,250.0,0,55,60,50,41.29,D,1000.0,40,41.0725,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Santa Inês,Sem classificação,41.0725,37.911625,2109908,True,santa ines,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Lagoa do Mato,300.0,1,35.0,35.0,39.5,39.5,36.8,lagoa do mato,0,medio,250.0,0,55,60,50,41.29,D,1500.0,40,41.0725,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Lagoa do Mato,Sem classificação,41.0725,37.911625,2105922,True,lagoa do mato,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Ribeirãozinho/ Edison Lobão,600.0,1,35.0,35.0,39.5,39.5,36.8,edison lobao,0,medio,250.0,0,55,60,50,41.29,D,3000.0,40,41.0725,D,540.0,600.0,690.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Ribeirãozinho/ Edison Lobão,Sem classificação,41.0725,37.911625,,False,ribeiraozinho edison lobao,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Ribamar Fiquene,150.0,1,35.0,35.0,39.5,39.5,36.8,ribamar fiquene,0,medio,250.0,0,55,60,50,41.29,D,750.0,40,41.0725,D,135.0,150.0,172.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Ribamar Fiquene,Sem classificação,41.0725,37.911625,2109551,True,ribamar fiquene,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Fernando Falcão,1000.0,1,35.0,35.0,39.5,39.5,36.8,fernando falcao,0,medio,250.0,0,55,60,50,41.29,D,5000.0,40,41.0725,D,900.0,1000.0,1150.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Fernando Falcão,Sem classificação,41.0725,37.911625,2104081,True,fernando falcao,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Vitorino Freire,300.0,1,35.0,35.0,39.5,39.5,36.8,vitorino freire,0,medio,250.0,0,55,60,50,41.29,D,1500.0,40,41.0725,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Vitorino Freire,Sem classificação,41.0725,37.911625,2113009,True,vitorino freire,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Pinheiro,100.0,1,35.0,35.0,39.5,39.5,36.8,pinheiro,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Pinheiro,Sem classificação,41.0725,37.911625,2108603,True,pinheiro,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Pastos Bons,250.0,1,35.0,35.0,39.5,39.5,36.8,pastos bons,0,medio,250.0,0,55,60,50,41.29,D,1250.0,40,41.0725,D,225.0,250.0,287.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Pastos Bons,Sem classificação,41.0725,37.911625,2108009,True,pastos bons,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Joselândia,350.0,1,35.0,35.0,39.5,39.5,36.8,joselandia,0,medio,250.0,0,55,60,50,41.29,D,1750.0,40,41.0725,D,315.0,350.0,402.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Joselândia,Sem classificação,41.0725,37.911625,2105609,True,joselandia,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Pres. Juscelino ,100.0,1,35.0,35.0,39.5,39.5,36.8,presidente juscelino,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Pres. Juscelino ,Sem classificação,41.0725,37.911625,2109205,True,pres juscelino,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
João Lisboa,150.0,1,35.0,35.0,39.5,39.5,36.8,joao lisboa,0,medio,250.0,0,55,60,50,41.29,D,750.0,40,41.0725,D,135.0,150.0,172.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,João Lisboa,Sem classificação,41.0725,37.911625,2105500,True,joao lisboa,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.538137499999998
Cândido Mendes,100.0,1,35.0,30.0,37.75,37.75,34.6,candido mendes,0,medio,250.0,0,55,60,50,40.63,D,500.0,40,40.9075,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Cândido Mendes,Sem classificação,40.9075,37.771375000000006,2102606,True,candido mendes,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.439962500000004
Codó,200.0,1,35.0,30.0,37.75,37.75,34.6,codo,0,medio,250.0,0,55,60,50,40.63,D,1000.0,40,40.9075,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Codó,Sem classificação,40.9075,37.771375000000006,2103307,True,codo,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,26.439962500000004
