CIDADE,expectativa_total,total_liderancas,peso_medio_liderancas,forca_media_local,score_medio,score_maximo,score_municipal_v6,cidade_norm,prefeito_apoia,sentimento_local_txt,distancia_tuntum_km,bonus_prefeito,score_proximidade,score_sentimento_local,fator_ancora_v7,score_municipal_v7,prioridade_v7,base_eleitoral_v8,peso_eleitoral,score_municipal_v8,prioridade_v8,cenario_conservador_v8,cenario_realista_v8,cenario_forte_v8,eficiencia_eleitoral,cluster_v9,acao_recomendada,municipio,prioridade_agenda,agenda_score,indice_consolidado,cd_mun,mapa_ok,cidade_norm_join,qtd_mencoes,sentimento_medio,engajamento_medio,alcance_medio,rejeicao_media,isd_v11,classificacao_isd,fontes,temas,indice_master_v12
Estreito,1500.0,1,100.0,100.0,85.0,85.0,94.0,estreito,0,medio,250.0,0,55,60,50,58.45,C,7500.0,40,45.3625,D,1350.0,1500.0,1724.9999999999998,20.0,Custo alto,Entrar com cautela e baixo custo político.,Estreito,Sem classificação,45.3625,41.558125,2104057,True,estreito,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Jenipapo dos Vieiras,700.0,1,100.0,100.0,85.0,85.0,94.0,jenipapo dos vieiras,0,medio,250.0,0,55,60,50,58.45,C,3500.0,40,45.3625,D,630.0,700.0,804.9999999999999,20.0,Custo alto,Entrar com cautela e baixo custo político.,Jenipapo dos Vieiras,Sem classificação,45.3625,41.558125,2105476,True,jenipapo dos vieiras,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Jatobá,1200.0,1,100.0,100.0,85.0,85.0,94.0,jatoba,0,medio,250.0,0,55,60,50,58.45,C,6000.0,40,45.3625,D,1080.0,1200.0,1380.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Jatobá,Sem classificação,45.3625,41.558125,2105450,True,jatoba,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Esperantinópolis,800.0,1,100.0,100.0,85.0,85.0,94.0,esperantinopolis,0,medio,250.0,0,55,60,50,58.45,C,4000.0,40,45.3625,D,720.0,800.0,920.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Esperantinópolis,Sem classificação,45.3625,41.558125,2104008,True,esperantinopolis,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
São Luís Gonzaga do MA,500.0,1,100.0,100.0,85.0,85.0,94.0,sao luis gonzaga do maranhao,0,medio,250.0,0,55,60,50,58.45,C,2500.0,40,45.3625,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,São Luís Gonzaga do MA,Sem classificação,45.3625,41.558125,2111409,True,sao luis gonzaga do ma,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Trizidela do Vale,300.0,1,100.0,100.0,85.0,85.0,94.0,trizidela do vale,0,medio,250.0,0,55,60,50,58.45,C,1500.0,40,45.3625,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Trizidela do Vale,Sem classificação,45.3625,41.558125,2112233,True,trizidela do vale,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Santa Helena,350.0,1,100.0,100.0,85.0,85.0,94.0,santa helena,0,medio,250.0,0,55,60,50,58.45,C,1750.0,40,45.3625,D,315.0,350.0,402.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Santa Helena,Sem classificação,45.3625,41.558125,2109809,True,santa helena,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Penalva,500.0,1,100.0,100.0,85.0,85.0,94.0,penalva,0,medio,250.0,0,55,60,50,58.45,C,2500.0,40,45.3625,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Penalva,Sem classificação,45.3625,41.558125,2108306,True,penalva,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Gov. Eugênio Barros,200.0,1,100.0,100.0,85.0,85.0,94.0,governador eugenio barros,0,medio,250.0,0,55,60,50,58.45,C,1000.0,40,45.3625,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Gov. Eugênio Barros,Sem classificação,45.3625,41.558125,2104602,True,gov eugenio barros,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Gonçalves Dias,1200.0,1,100.0,100.0,85.0,85.0,94.0,goncalves dias,0,medio,250.0,0,55,60,50,58.45,C,6000.0,40,45.3625,D,1080.0,1200.0,1380.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Gonçalves Dias,Sem classificação,45.3625,41.558125,2104404,True,goncalves dias,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Santa Filomena do MA,1000.0,1,100.0,100.0,85.0,85.0,94.0,sao filomena do maranhao,0,medio,250.0,0,55,60,50,58.45,C,5000.0,40,45.3625,D,900.0,1000.0,1150.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Santa Filomena do MA,Sem classificação,45.3625,41.558125,,False,santa filomena do ma,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
Morros,600.0,1,100.0,80.0,78.0,78.0,85.2,morros,0,medio,250.0,0,55,60,50,55.81,C,3000.0,40,44.7025,D,540.0,600.0,690.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Morros,Sem classificação,44.7025,40.997125000000004,2107100,True,morros,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.6979875
Serrano do Maranhão,200.0,1,100.0,80.0,78.0,78.0,85.2,serrano do maranhao,0,medio,250.0,0,55,60,50,55.81,C,1000.0,40,44.7025,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Serrano do Maranhão,Sem classificação,44.7025,40.997125000000004,2111789,True,serrano do maranhao,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.6979875
São Domingos do MA,2000.0,1,70.0,100.0,74.5,74.5,80.8,sao domingos do maranhao,0,medio,250.0,0,55,60,50,54.49,C,10000.0,40,44.3725,D,1800.0,2000.0,2300.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,São Domingos do MA,Sem classificação,44.3725,40.71662500000001,2110708,True,sao domingos do ma,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.501637500000005
São José de Ribamar,700.0,1,70.0,100.0,74.5,74.5,80.8,sao jose de ribamar,0,medio,250.0,0,55,60,50,54.49,C,3500.0,40,44.3725,D,630.0,700.0,804.9999999999999,20.0,Custo alto,Entrar com cautela e baixo custo político.,São José de Ribamar,Sem classificação,44.3725,40.71662500000001,2111201,True,sao jose de ribamar,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.501637500000005
Imperatriz,500.0,1,70.0,100.0,74.5,74.5,80.8,imperatriz,0,medio,250.0,0,55,60,50,54.49,C,2500.0,40,44.3725,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Imperatriz,Sem classificação,44.3725,40.71662500000001,2105302,True,imperatriz,1.0,80.0,70.0,82.0,14.0,58.31,Neutro/instável,Barra do Corda Notícia,Imperatriz; Orleans Brandão; Região Tocantina; lideranças,45.9946375
São João dos Patos,1500.0,1,70.0,100.0,74.5,74.5,80.8,sao joao dos patos,0,medio,250.0,0,55,60,50,54.49,C,7500.0,40,44.3725,D,1350.0,1500.0,1724.9999999999998,20.0,Custo alto,Entrar com cautela e baixo custo político.,São João dos Patos,Sem classificação,44.3725,40.71662500000001,2111102,True,sao joao dos patos,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.501637500000005
Icatu,800.0,1,70.0,100.0,74.5,74.5,80.8,icatu,0,medio,250.0,0,55,60,50,54.49,C,4000.0,40,44.3725,D,720.0,800.0,920.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Icatu,Sem classificação,44.3725,40.71662500000001,2105104,True,icatu,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.501637500000005
Turiaçu,500.0,1,70.0,80.0,67.5,67.5,72.0,turiacu,0,medio,250.0,0,55,60,50,51.85,C,2500.0,40,43.7125,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Turiaçu,Sem classificação,43.7125,40.155625,2112407,True,turiacu,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.1089375
Anajatuba,500.0,1,70.0,80.0,67.5,67.5,72.0,anajatuba,0,medio,250.0,0,55,60,50,51.85,C,2500.0,40,43.7125,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Anajatuba,Sem classificação,43.7125,40.155625,2100709,True,anajatuba,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.1089375
Pirapemas,500.0,1,70.0,80.0,67.5,67.5,72.0,pirapemas,0,medio,250.0,0,55,60,50,51.85,C,2500.0,40,43.7125,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Pirapemas,Sem classificação,43.7125,40.155625,2108801,True,pirapemas,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.1089375
Tufilândia,400.0,1,70.0,80.0,67.5,67.5,72.0,tufilandia,0,medio,250.0,0,55,60,50,51.85,C,2000.0,40,43.7125,D,360.0,400.0,460.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Tufilândia,Sem classificação,43.7125,40.155625,2112274,True,tufilandia,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.1089375
Timon,1500.0,1,70.0,80.0,67.5,67.5,72.0,timon,0,medio,250.0,0,55,60,50,51.85,C,7500.0,40,43.7125,D,1350.0,1500.0,1724.9999999999998,20.0,Custo alto,Entrar com cautela e baixo custo político.,Timon,Sem classificação,43.7125,40.155625,2112209,True,timon,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.1089375
Coroatá,200.0,1,70.0,80.0,67.5,67.5,72.0,coroata,0,medio,250.0,0,55,60,50,51.85,C,1000.0,40,43.7125,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Coroatá,Sem classificação,43.7125,40.155625,2103604,True,coroata,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.1089375
Amarante do MA,1500.0,1,70.0,80.0,67.5,67.5,72.0,amarante do maranhao,0,medio,250.0,0,55,60,50,51.85,C,7500.0,40,43.7125,D,1350.0,1500.0,1724.9999999999998,20.0,Custo alto,Entrar com cautela e baixo custo político.,Amarante do MA,Sem classificação,43.7125,40.155625,2100600,True,amarante do ma,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.1089375
Mata Roma,450.0,1,70.0,80.0,67.5,67.5,72.0,mata roma,0,medio,250.0,0,55,60,50,51.85,C,2250.0,40,43.7125,D,405.0,450.0,517.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Mata Roma,Sem classificação,43.7125,40.155625,2106409,True,mata roma,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,28.1089375
Bacabeira,300.0,1,100.0,35.0,62.25,62.25,65.4,bacabeira,0,medio,250.0,0,55,60,50,49.870000000000005,D,1500.0,40,43.2175,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Bacabeira,Sem classificação,43.2175,39.734875,2101251,True,bacabeira,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.8144125
Nina Rodrigues,100.0,1,100.0,35.0,62.25,62.25,65.4,nina rodrigues,0,medio,250.0,0,55,60,50,49.870000000000005,D,500.0,40,43.2175,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Nina Rodrigues,Sem classificação,43.2175,39.734875,2107209,True,nina rodrigues,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.8144125
Governador Archer,1000.0,1,100.0,35.0,62.25,62.25,65.4,governador archer,0,medio,250.0,0,55,60,50,49.870000000000005,D,5000.0,40,43.2175,D,900.0,1000.0,1150.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Governador Archer,Sem classificação,43.2175,39.734875,2104503,True,governador archer,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.8144125
